"sid","roi","modality","X0s","X2s","X4s","X6s","X8s","X10s","PSC"
1,"lM1","Stop",0,-0.25753133,-0.560755285,-0.330311808,-0.160425229,0.00426295999999999,-0.382866141
2,"lM1","Stop",0,-0.167367451,-0.207141703,0.105236887,-0.021440171,-0.024776249,-0.0897574223333333
3,"lM1","Stop",0,-0.182579604,-0.598835363,-0.287104068,-0.104351689,-0.231557857,-0.356173011666667
4,"lM1","Stop",0,-0.272830209,-0.400078391,-0.056073875,-0.074537254,0.010622091,-0.242994158333333
5,"lM1","Stop",0,-0.571195439,-0.539052685,0.514676141,0.657452073,0.590356764,-0.198523994333333
6,"lM1","Stop",0,-0.0572018,-0.167806237,-0.101085181,0.105206196,0.334773956,-0.108697739333333
7,"lM1","Stop",0,-0.302731008,-0.63906721,-0.344281107,-0.319197346,-0.222168602,-0.428693108333333
8,"lM1","Stop",0,-0.172459358,-0.39556129,-0.157171558,-0.02198124,0.069696936,-0.241730735333333
9,"lM1","Stop",0,-0.413513099,-0.604571087,-0.281205249,-0.320617332,-0.496659207,-0.433096478333333
10,"lM1","Stop",0,-0.132325996,-0.388833403,-0.154381397,-0.166323039,0.084635235,-0.225180265333333
11,"lM1","Stop",0,-0.193047037,-0.217488734,0.055124429,-0.090456445,0.310551705,-0.118470447333333
12,"lM1","Stop",0,-0.146815111,-0.528545921,-0.155543886,-0.334758944,-0.047502258,-0.276968306
13,"lM1","Stop",0,-0.81359575,-0.722722723,0.042727506,0.209048359,0.116697525,-0.497863655666667
14,"lM1","Stop",0,-0.297082541,-0.043534014,0.067321327,0.172764211,0.025176401,-0.0910984093333333
15,"lM1","Stop",0,-0.118881234,-0.056215238,0.00652704299999999,0.050017914,0.023410822,-0.0561898096666667
16,"lM1","Stop",0,-0.269631721,-0.212573842,-0.088784948,-0.104799962,-0.194510787,-0.190330170333333
17,"lM1","Stop",0,-0.653045647,-0.750472904,-0.267135649,-0.231105966,-0.186590576,-0.556884733333333
18,"lM1","Stop",0,0.042686709,-0.014122712,0.176464235,0.069001191,0.099084845,0.068342744
19,"lM1","Stop",0,-0.416061921,-0.359897306,-0.10563107,0.015153678,-0.085105137,-0.293863432333333
20,"lM1","Stop",0,-0.116120047,-0.109779268,-0.054854815,0.052840584,0.246470118,-0.09358471
21,"lM1","Stop",0,-0.29426503,-0.437700293,-0.280694008,-0.244204252,-0.012547575,-0.337553110333333
22,"lM1","Stop",0,-0.373682173,-0.684676592,-0.172709856,0.42481759,0.372917449,-0.410356207
23,"lM1","Stop",0,-0.596210303,-0.856893636,-0.341376668,-0.287712966,-0.40696558,-0.598160202333333
24,"lM1","Stop",0,-0.544324092,-0.603318186,-0.035384396,-0.173495231,-0.158714004,-0.394342224666667
